9,Mangling Ruby with TracePoint,"Mangling Ruby with TracePoint

Introduced in Ruby 2.0, TracePoint is meant to help developers better instrument their code for debugging and performance reasons, but there's more to TracePoint than that!

In this talk we'll learn about TracePoint while building several example projects. Once we know the basics we'll use TracePoint to do things to Ruby that we couldn't have done otherwise.

By the end of this talk  you'll be able to frighten and amaze your friends when you show them things like true abstract classes and interfaces in Ruby, just like Java! Yikes!
"
10,GET /better,"Becoming a well sought after and ""better"" developer is easier than you think. There are no tonics or elixirs you can take that will instantly make a desirable engineer, but there are easily defined steps to that goal.

In this talk we will discuss the different avenues that are at your disposal to become a better developer. These achievable steps have led me to a successful software development career, and they can help you too.

This is not a get rich quick scheme, there is sweat and hard work involved, but it'll fun. So let's get better!"
11,A Big Look at MiniTest,"In Ruby 1.9 the MiniTest testing framework was introduced. This lightweight testing framework is fast, powerful, and easy to understand, yet so many people over look it.

In this talk we'll look at using MiniTest in a simple, non-Rails, project and then work up to using it in a Rails application. We'll look at both the TestUnit and RSpec style syntaxes that MiniTest offers. We'll also learn to write custom matchers, run specific files, and much more.

Testing is important to all Ruby developers, and with such a powerful testing library already bundled with Ruby, shouldn't we learn how to use it?
"
12,Learning from Smalltalk,"This talk covers the features, history and capabilities of Smalltalk and the benefits that it can hold for all Rubyists."
13,tested_passion,"one talk proposal : a 1/4 technical, a 1/2 scientific and a 1/4 human."
14,Community from the Front Lines,I'd love to talk about what it's like to work in community management and what's been going on in the Ruby community.
15,Adding submission for the CFP - Ruby Groups: Act Locally - Think Globall...,...y
16,"Fast, JSON-API-compliant, and ready for Ember Data",""
17, An Ode to 17 Databases in 39 minutes,"A detailed, deep-diving, in-the-deep-end and occasionally humorous whirlwind introduction and analysis of a suite of modern (and sometimes delightfully archaic) database technologies. "
18,Hitchikers guide to UXing without a UXer,"A ""Douglas Adams"" style quick-start guide for developers to help them keep the greatness in their product and ideas without having a designer or UXer on staff. "
19,Talk: How To Win Designers And Influence Developers,"This talk is about ways to hack your team for a more efficient, productive and ultimately happier existence. That's the good news. The bad news is hacking your team starts with hacking yourself."
20,Real Developers Ship,"In which we explore the tenets of a small team inside Envato who changed the way they work in order to deliver better and faster, and how you can too. Among other things, we'll cover continuous deployment, paying the refactor cost upfront, staying lean, and testing in production."
21,I've got your number: Machine Learning in Ruby.,"An introduction to ML, including a demo, working code and libraries available to Rubyists ro explore this world."
22,Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion,"### Why Ruby/Elixir (culture) can make the difference in Software Development: A Behavioral Economics Reflexion

**Audience:** Rubysts and Software Developers at General

How Behavioral Economics findings and principles can help us to reflecting in the relevance of Ruby/Elixir (culture) for Software Development.

The presentation will be very interactive. The presenter will ask the participation of the audience to illustrate at real time and at live the BE principles. These principles will be use for reflecting about the relevance of Ruby/Elixir for the Software Development"
23,The Golden Age of the Internet,"Congratulations. The Internet is now the centre of civilisation as we know it, and _we_ are the ones who shape the Internet. Our skills are in high demand, we are paid well, we find our work challenging, interesting, and even sometimes fulfilling. These are the glory days of our industry, and we should soak up every minute of it!

And let's ignore those storm clouds gathering on the horizon - with our talent, surely we will soar above them like Icarus towards the sun."
24,[dev] Suggest use of relative links to profile picture in example.,Using a relative link for the profile picture should prevent fragility in talk descriptions :)
25,Engineering Words,""
26,Proposal: The Art of Ruby by halogenandtoast.,"The Art of Ruby: A talk about code, art, and the search for balance between beauty and performance."
27,Proposal: State of JRuby 2014,JRuby talk proposal.
28,The Dark Side of Ruby,Welcome to the dark side of Ruby and get en**light**ened.
29,Fighting bugs with development hacks.,""
30,Programming Elixir: The magic of today's tonic,""
31,Keith and Mario's Guide to Continuous Deployment with Rails,"Recently it has become common practise for development teams to deploy their code several times a day, as well as encouraging new developers to deploy on their first day at work.

In our talk Mario and I will discuss how we use continous deployment to push these practises to the extreme. Automatically deploying the master branch on new changes is an awesome way to improve your development process.
"
32,Fast & Effective View Testing,"### Fast & Effective View Testing

Many people use integration tests to check if an element is displayed or not, which is slow and cumbersome. Others use RSpec view specs, which end up creating duplicated code and scenarios.

In this presentation Nigel will reveal a better solution. We will review the core problem and then examine a fast and consistent way of testing whether multiple elements are (or are not) displayed, based on a context."
33,Talk: Why 25% of your tests are useless and what you can do about it.,Proposal from Mario Gonzalez. Thanks!!
34,Objectify Your Forms: Beyond Basic User Input,""
35,Dev2DevOps - Intro to DevOps for developers,"High level intro to DevOps, its origins, its concepts, and its tools.
Inspiration and guidance for developers wanting to start down the path to being
DevOps literate."
36,The Transformation Priority Premise for Productive TDD,"Almost all of us, ruby programmers, have understood the importance of the TDD discipline. The practice of TDD, however, isn't as straightforward as we would like. We frequently get stuck, not knowing what to test next, and how or when to generalize the code.

In this talk, I will introduce the Transformation Priority Premise, and show how we can apply a little mathematical rigour to infer our testing paths, thus reducing or completely eliminating impasses."
37,Add in my README and profile picture,"Here's my proposal for a talk. Here's the short description:

> Everybody writes bad code. Not everybody knows they write bad code. I'm going to talk with you about how I think we can identify, manage, and prevent bad code from entering your repo. This is a general software engineering talk that will use solutions based in Ruby, aimed at Ruby development teams (Rails and RubyMotion)."
38,AHAB: An HTTP Asset Bundler,"Introduction to the AHAB asset bundling protocol, its use in Rack applications, asset packaging in an HTTP 2.0 world, and using AHAB to try out code against production data."
39,Charming Large Databases with Octopuses,"You have a killer web application, hits are through the roof and your database is starting to get overloaded. Do I need to throw more hardware at the database? Should I shard it? Should I use replication? How do I access multiple databases via one Rails application? Join us as we talk about strategies for scaling your database. See how easy it is to use multiple databases with db-charmer and octopus when it is time to move beyond that one ubiquitous database instance in your app."
40,Finding things with Amazon Cloud Search and (Active)-Asari,"Amazon Cloud Search provides a powerful mechanism for adding search to your application…. It automatically sales things for you and indexes your data as you add thing. Integrating it with your Ruby application can be a challenge, especially in multiple environments. It has crazy domain names, and requires a lot of glue code to automate spinning up environments, and search operations. Thankfully we have Asari and Active-Asari to make that easier. Join us as we talk about search, tools you can use and how Asari and Active-Asari can make it more approachable when you need to move beyond database and solr based search in your application."
41,Building C extensions in Ruby,"From time to time, when building Ruby apps, you realise there are no libraries available for what you need. Even worse, Ruby doesn't quite perform as quickly as we would expect in certain areas. There are, however, a lot of high performance, mature technologies built in C that can easily be ported to be used with Ruby. By doing this, we get to keep using our favourite language, opening it to a plethora of applications that were not possible before, and still keep things snappy.

In this talk, I will walk you through the ins and outs of building Spyglass, an OpenCV binding for Ruby. I will also talk in detail about some gotchas (memory management, lack of threading), good practices (C objects as first class citizens, how to properly test extensions), why `mkmf` needs to be retired and some great examples of extensions you probably already use and should be looking at."
42,analytics for the busy ruby developer,"Our applications have the potential to produce a lot of data. Every time a user clicks a button, buys something, or our application does any number of things we have the opportunity to gain useful insights. But where do you begin? Should I gather every data point I can think of? What tools work the best? There is a lot of talk and hype about analytics. In this session, let's take a look at what goes into mining data and analyzing the insights. We'll discuss different approaches to gathering, storing, and querying data, how to determine the KPIs to focus on, and how to interpret and use information in meaningful ways. While you may not be a statistician, see how some basic statistics can help you to start to wrangle your data."
43,[Workshop] Testing - Zero To Hero,"So testing... How does it work?

What is a unit test? Why is that an integration test, should I even bother with
acceptance tests? Let's work through the differences between the various types
of testing, look at differing strategies for tackling problems and how they can
be solved.

Try doing things with TDD, try doing things building tests after. Let's use
RSpec, TestUnit and MiniSpec to test different techniques and perfect our
tests.

Look at how we can apply these to our real world problems to make our lives
easier and our software better!"
44,GitHub Enterprise's toolchain,"Have you ever wonder what it takes to turn your SaaS into an On-Premise project? At GitHub, we've develop a series of tools to help us build, test and release GitHub Enterprise in a matter of minutes.

This talk is about the internal infrastructure that we've built to support GitHub Enterprise. We'll talk about our testing cloud and how we do continuous integration for an on-premise product. We'll also talk about patterns that we've found useful and things that didn't work out that well. We'll show the tooling that makes all this possible and how it integrates with Hubot to allow the Enterprise team to collaborate.
"
45,[talk] Tales Of Interest,"So you want to be an open source contributor? Think you can handle supporting
multiple rubies, tracking down weird bugs, stomaching all that the wider developer
eco system can throw at you? Well good reader, I can tell you stories that will
turn your stomach, and blind your eyes.

Let me take you on a journey deep into the depths of open source triage and
follow the kind of madness that comes from tracking down bugs across differing
versions of Ruby and VMs.

Finally let me entertain you with stories of the perils of dogfooding your
testing framework, and throw in some stories about the kind of hackery you
can commit with a bit of mischievousness."
46,Talk Proposal: The Ethical Programmer,"Programmers have great power to shape our world. Other professions have ethics boards and revocable professional licenses to bring responsibility to that power. We do not. Therefore, we must educate ourselves in ethical thinking.

This talk covers methods in ethics both historical and modern. It then applies those methods to some recent problems. Possible thorny issues include:

 * triage and bug fixing
 * visualization of data: Customer Satisfaction reports
 * features with negative externalities: LinkedIn Intro
 * prioritization: the best minds of our generation optimizing ad-revenue"
48,standing on the shoulders of giants with @zzak,"We take for granted the wealth of knowledge and wisdom that goes into each library we use within our programs. Many of the them we use today are built on top of libraries that have existed much longer than most of us have been programming in Ruby.

Allow me to guide you through some of these unusual and mysterious libraries that are made available in every Ruby installation. I'm talking about the standard library, which has largely been apart of the Ruby ecosystem since before gems were available.

There's around ~70MB of code in every installation, and it's just waiting for those eager to explore and discover what the pioneers of Ruby have provided for us."
49,Beyond the Monorail: Rails' place in the future of web development,My proposal for the super rad RubyconfAU 2014 woo!
50,MRI Magic Tricks,"Join me as we dive under the hood and take a rip-roaring tour of the internals of Ruby's canonical implementation.

This talk will have you hanging on the edge of your seat as we push the very limits of the Ruby language and take advantage of a few interesting bugs to do things you never thought were possible.

You'll laugh, you'll cry, and hopefully you'll come away from this talk with some fresh knowledge on just what makes Ruby tick.
"
