,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
1,Continuous Delivery of Rails Applications,,"# Continuous Delivery of Rails Applications (or 'webscale' Rails)

Taking your app from it's infancy, and turning it into something that can serve tens of thousands of requests a minute, is no cakewalk. 

This talk will go through the steps to build a Continuous Delivery pipeline for your Rails Applications. Including:
  - Running your specs and features (of course)
  - Building an artifact
  - Provisioning resilient environments (Amazon or otherwise)
  - Inactive/Active setup, so you can manually 'gate' production releases
  - Automatic healing, so you don't get woken up in the middle of the night for minor things
  - Bonus: Suggestions on monitoring, alerting & backups


## Luke Chadiwck

Geek since birth. DevOp. Ruby Developer. Lover. Idealist. 

While I love doing Ruby and Rails development, I also enjoy building production environments and keeping them running (and all that that entails).

I currently work for [Pop!](http://popanyform.com), a Startup based in Melbourne. Pop! is a revolutionary and secure way to instantly populate web forms and online applications.

In my own time, I'm the proud of creator of http://faxitforme.com  (RailsRumble2012) and http://newsbrow.se  (NKO 2012).

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2013-cfp/master/continuous-delivery-of-rails-applications/profile_picture.jpg)

- [My website](http://vertis.io)
- [My twitter](https://twitter.com/vertis)",
3,Nikolay Nemshilov and his glorious UnderOS,,"# UnderOS

I would like to give a talk about a new exciting project called `under-os`, which is a full-scale browser-like abstraction on top of iOS that uses rubymotion and well, ruby.

It solves a really big problem in a really cool way. Basically, you've got rubymotion, which reduces the hassle of getting into the iOS apps development for rubyists, but it's still iOS, which is very alien to ruby itself and web-developers in general.

So, the ambition of this project is to write a full-scale abstraction in ruby on top of iOS, which will borrow a lot of concepts from the front-end development, like events, templates, stylesheets, etc. But we do it properly and in ruby.

In the end we will have a fully rubyists friendly stack that will be familiar to any web-developer and will drastically reduce the entry level for native apps development.


## Nikolay Nemshilov

Ruby/Rails developer/thinker/explorer with ~7 years of experience in ruby and a mission to join ruby, front-end and native apps development in one flow. For the greater good and total world domination.

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2013-cfp/master/talk-nikolay_nemshilov-under_os/profile_picture.jpg)

- [nikolay.theosom.com](http://nikolay.theosom.com)
- [@nemshilov](https://twitter.com/nemshilov)
- [Past talk slides](https://speakerdeck.com/madrabbit/software-design-by-stories)
- I don't have videos. Yet. But many of you saw may talks at #rorosyd a few times I think.",
4,Curly — Refactoring the view layer,,"# Curly — Refactoring the view layer

While most parts of Rails have been thoroughly overhauled during the past few years, one part has stubbornly refused improvement. The view layer is still by default using ERB to transform your app’s objects into HTML. Though HAML has gained a lot of traction, it is not a fundamental shift away from ERB, but rather a preference for putting HTML in your Ruby rather than the other way around.

More recent efforts in the realm of JavaScript have produced Mustache and its ambitious younger brother, Handlebars. While these are more radical in their attempt to separate structure and logic, they still do not feel like native Rails code.

While trying to solve a seemingly unrelated problem we discovered a design that suddenly enabled us to move past the limitations of ERB. Though different only in subtle ways, it struck just the right balance between integration with Rails and separation of concerns. We called it Curly.

I will show how we use the same old OO techniques that you already know to clean up our views, making them less prone to bugs, more readable, and more reusable.

I’ll also show how a seemingly small change of our conceptual model enabled us to add advanced behavior to our view layer without ending with an unmaintainable mess.

Curly is open source and available at http://github.com/zendesk/curly

## Daniel Schierbeck

Daniel Schierbeck has been programming in Ruby since 2005 after completing level 99 in PHP and figuring out there was no prize to win after all.

He studied Computer Science at the University of Copenhagen, where he primarily spent his time trying to avoid writing C++. He got into Concurrent Sequential Processes before it became cool, and wrote a Ruby implementation called Minx for his bachelor thesis. As with all academic code, it is used by no one.

He currently pumps out pull requests for a living at Zendesk, a San Francisco
based Customer Support Software SaaS company.

![Profile
picture](https://0.gravatar.com/avatar/a9cc05e6a7866e5fa9a7d107b5070174?d=https%3A%2F%2Fidenticons.github.com%2Fc6862d63b17d713ee14f3a405d9fde77.png&s=420)

- [@dasch on Twitter](https://twitter.com/dasch)
- [@dasch on GitHub](https://github.com/dasch)",
9,Mangling Ruby with TracePoint,"Mangling Ruby with TracePoint
Introduced in Ruby 2.0, TracePoint is meant to help developers better instrument their code for debugging and performance reasons, but there's more to TracePoint than that!
In this talk we'll learn about TracePoint while building several example projects. Once we know the basics we'll use TracePoint to do things to Ruby that we couldn't have done otherwise.
By the end of this talk  you'll be able to frighten and amaze your friends when you show them things like true abstract classes and interfaces in Ruby, just like Java! Yikes!
","# Mangling Ruby with TracePoint

Introduced in Ruby 2.0, TracePoint is meant to help developers better instrument their code for debugging and performance reasons, but there's more to TracePoint than that!

In this talk we'll learn about TracePoint while building several example projects. Once we know the basics we'll use TracePoint to do things to Ruby that we couldn't have done otherwise.

By the end of this talk  you'll be able to frighten and amaze your friends when you show them things like true abstract classes and interfaces in Ruby, just like Java! Yikes!

## Mark Bates

Mark Bates is the founder and chief architect of the Boston, MA based consulting company, Meta42 Labs. Mark spends his days focusing on new application development and consulting for his clients. At night he writes books, raises kids, and occasionally he forms a band and “tries to make it”. In 2009 Mark’s first (surprisingly not his last!) book, “Distributed Programming with Ruby”, was published by Addison-Wesley. In 2012 Addison-Wesley published Mark’s second book, “Programming in CoffeeScript”.

![Profile picture](http://www.gravatar.com/avatar/c6f2229ca2c8dcf0176f036508ec2c3b.png?s=500)

- [My website](http://www.metabates.com)
- [My twitter](https://twitter.com/markbates)
- [Past talk slides](http://example.com)
- [Past talk video](http://confreaks.com/videos/2617-btvruby2013-keynote-get-better)",
10,GET /better,"Becoming a well sought after and 'better' developer is easier than you think. There are no tonics or elixirs you can take that will instantly make a desirable engineer, but there are easily defined steps to that goal.
In this talk we will discuss the different avenues that are at your disposal to become a better developer. These achievable steps have led me to a successful software development career, and they can help you too.
This is not a get rich quick scheme, there is sweat and hard work involved, but it'll fun. So let's get better!","# GET /better

Becoming a well sought after and ""better"" developer is easier than you think. There are no tonics or elixirs you can take that will instantly make a desirable engineer, but there are easily defined steps to that goal.

In this talk we will discuss the different avenues that are at your disposal to become a better developer. These achievable steps have led me to a successful software development career, and they can help you too.

This is not a get rich quick scheme, there is sweat and hard work involved, but it'll fun. So let's get better!

## Mark Bates

Mark Bates is the founder and chief architect of the Boston, MA based consulting company, Meta42 Labs. Mark spends his days focusing on new application development and consulting for his clients. At night he writes books, raises kids, and occasionally he forms a band and “tries to make it”. In 2009 Mark’s first (surprisingly not his last!) book, “Distributed Programming with Ruby”, was published by Addison-Wesley. In 2012 Addison-Wesley published Mark’s second book, “Programming in CoffeeScript”.

![Profile picture](http://www.gravatar.com/avatar/c6f2229ca2c8dcf0176f036508ec2c3b.png?s=500)

- [My website](http://www.metabates.com)
- [My twitter](https://twitter.com/markbates)
- [Past talk slides](http://example.com)
- [Past talk video](http://confreaks.com/videos/2617-btvruby2013-keynote-get-better)",
11,A Big Look at MiniTest,"In Ruby 1.9 the MiniTest testing framework was introduced. This lightweight testing framework is fast, powerful, and easy to understand, yet so many people over look it.
In this talk we'll look at using MiniTest in a simple, non-Rails, project and then work up to using it in a Rails application. We'll look at both the TestUnit and RSpec style syntaxes that MiniTest offers. We'll also learn to write custom matchers, run specific files, and much more.
Testing is important to all Ruby developers, and with such a powerful testing library already bundled with Ruby, shouldn't we learn how to use it?
","# A Big Look at MiniTest

In Ruby 1.9 the MiniTest testing framework was introduced. This lightweight testing framework is fast, powerful, and easy to understand, yet so many people over look it.

In this talk we'll look at using MiniTest in a simple, non-Rails, project and then work up to using it in a Rails application. We'll look at both the TestUnit and RSpec style syntaxes that MiniTest offers. We'll also learn to write custom matchers, run specific files, and much more.

Testing is important to all Ruby developers, and with such a powerful testing library already bundled with Ruby, shouldn't we learn how to use it?

## Mark Bates

Mark Bates is the founder and chief architect of the Boston, MA based consulting company, Meta42 Labs. Mark spends his days focusing on new application development and consulting for his clients. At night he writes books, raises kids, and occasionally he forms a band and “tries to make it”. In 2009 Mark’s first (surprisingly not his last!) book, “Distributed Programming with Ruby”, was published by Addison-Wesley. In 2012 Addison-Wesley published Mark’s second book, “Programming in CoffeeScript”.

![Profile picture](http://www.gravatar.com/avatar/c6f2229ca2c8dcf0176f036508ec2c3b.png?s=500)

- [My website](http://www.metabates.com)
- [My twitter](https://twitter.com/markbates)
- [Past talk slides](http://example.com)
- [Past talk video](http://confreaks.com/videos/2617-btvruby2013-keynote-get-better)",
12,Learning from Smalltalk,"This talk covers the features, history and capabilities of Smalltalk and the benefits that it can hold for all Rubyists.","# Learning from Smalltalk

Smalltalk is an object-oriented, dynamically typed, reflective programming language. 
Smalltalk is a ""pure"" object-oriented programming language, meaning that, unlike 
Java and C++, there is no difference between values which are objects and values 
which are primitive types. In Smalltalk, primitive values such as integers, booleans 
and characters are also objects, in the sense that they are instances of corresponding 
classes, and operations on them are invoked by sending messages.

Sound familiar?

Smalltalk leaves a long shadow on the programming landscape and can be considered 
both as an ancestor and influence on the design of Ruby.  This talk introduces 
Smalltalk to Rubyists and covers software principles which can be applied to Ruby 
applications, both large and small.

Topics include:
* Brief overview
* Design
* Expressions
* Literals
* Messages
* Patterns
* Reflection

## Sasha Gerrand

Hacker. Ruby Friend. Programmer at [Bigcommerce](https://www.bigcommerce.com).

![Profile picture](https://raw.github.com/sgerrand/rubyconfau-2014-cfp/learning-from-smalltalk/talk-sasha_gerrand-learning_from_smalltalk/profile_picture.jpg)

- [My website](http://sgerrand.com)
- [My twitter](https://twitter.com/sgerrand)
- [Previous talks](https://slid.es/sgerrand)",
13,tested_passion,"one talk proposal : a 1/4 technical, a 1/2 scientific and a 1/4 human.","# Tested passion

We have all heard the technical reasons why we should do test driven development, and we have all heard the burnout stories.

Have we heard the human reasons why tests are good and why a healthier daily schedule including them could avoid burn out ?

We are delicate organic systems that can work nicely if they are respected and used properly. We crash because we do too much. We continually push ourselves to work, deliver and build : we expect and are expected to produce a lot. We forget we are not factories producing tons of product every day. We are machines, biological ones, tailored by millennia of genetic history. Ignoring this, leads to crashes.

What is a proper schedule for our brain to learn and process information? Why can't we stay focused for 8 hours? What is the impact of sleep and naps? What is the impact of physical activity in our daily lives? How does TDD Fit in that process ?

In this talk we will see how much modern workplaces and schedules are disconnected from our biology, how we can change little things to avoid big crashes, work better and be happier.

## Thomas Riboulet

Born in the south of France, raised in the wild with cats, dogs, Apple computers and Tolkien stories. Difficult to avoid the family trade and by 2000 he was writing code and compiling kernels. After riding a dragon and crossed Oz by train he came back to old Europe to write articles and solve problems in Ruby. He also served as catalyst for a Ruby local group and a coworking space in Toulouse, France.

He now writes Ruby and JS in UK.

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2014-cfp/master/tested_passion/profile_picture.jpg)

- [My website](http://mcansky.github.io)
- [My twitter](https://twitter.com/mcansky)
- [Past talk slides](https://github.com/Arbousier/letstakeawalk)
- [Past talk video](http://rulu.eu/talks/) (to be announced in the coming weeks)",
14,Community from the Front Lines,I'd love to talk about what it's like to work in community management and what's been going on in the Ruby community.,"# Community From The Front Lines

Ruby has one of the most unique and volatile communities in all of the programming world. Most recently, a number of social issues have come to light that have had a dramatic effect on the health of our community. This talk will look back at how the Ruby community has progressed in the past couple of years, where it has failed us and where it has pushed us forward. I will cover its progress (such as the aggressive effort to educate and train women with programs like RailsBridge and Rails Girls), setbacks (such as a continuing aggression toward minorities) and how the community can grow and improve.

## Elaine Greenberg

I work on community and developer relations at Engine Yard. In my spare time, I get distracted by shiny things. I really want a French bulldog.

![Profile picture](./profile_picture.jpg)

- [My website](http://about.me/ejgreenberg)
- [My twitter](https://twitter.com/ejgreenberg)",
15,Ruby Groups: Act Locally - Think Globally,...y,"# Ruby Groups: Act Locally - Think Globally

There are thousands of local Ruby groups worldwide. Sadly, many suffer along, become stagnant, some even die off. How can you make your local Ruby Group better and in so doing, improve the global Ruby Community?

This talk focuses on the human side of getting a group together and making it successful so the members, as a group can contribute to the larger community. It is a universally useful guide to improving all parts of the ruby community, starting on a local level.

## PJ Hagerty

A Ruby on Rails developer for the last 5 years, PJ currently works at Engine Yard as the Community Engineer. Additionally, he organizes the Western New York Ruby Brigade. Traveling to conferences and Ruby meet ups around the US and Canada, PJ likes to spread the word on the importance of community and coding, stressing the importance of outreach and focusing on the human side of being a coder.

PJ has been known to organize impromptu conference jam sessions, karaoke smackdowns, and is a member of the Original ""RailsConf Band"".

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2014-cfp/talk-PJ_Hagerty-Ruby_Groups_Act_Locally_Think_Globally/example/profile_picture.jpg)

- [My twitter](https://twitter.com/aspleenic)
- [Past talk video](http://confreaks.com/videos/2376-rmw2013-ruby-groups-act-locally-think-globally)",
